Case_ID,Activity,Timestamp,Priority,Category,Agent
TKT-1007,Investigation Started,2024-03-02 09:20:50.010019,Critical,Email,Agent14
TKT-1007,Awaiting Customer Response,2024-03-06 14:51:41.327644,Critical,Email,Agent12
TKT-1007,Solution Proposed,2024-03-06 17:38:34.688729,Critical,Email,Agent14
TKT-1007,Solution Implemented,2024-03-06 21:11:01.305725,Critical,Email,Agent9
TKT-1007,Customer Verification,2024-03-09 00:02:42.371762,Critical,Email,Agent9
TKT-1007,Ticket Closed,2024-03-09 01:46:19.651498,Critical,Email,Agent9
TKT-1008,Ticket Created,2024-05-16 00:00:00.000000,Medium,Network,Agent14
TKT-1008,Initial Triage,2024-05-16 01:03:18.970294,Medium,Network,Agent3
TKT-1008,Assigned to Agent,2024-05-16 03:56:28.161106,Medium,Network,Agent8
TKT-1008,Investigation Started,2024-05-16 07:44:28.823375,Medium,Network,Agent6
TKT-1008,Awaiting Customer Response,2024-05-19 13:19:08.875272,Medium,Network,Agent4
TKT-1008,Solution Proposed,2024-05-19 16:08:14.208115,Medium,Network,Agent1
TKT-1008,Solution Implemented,2024-05-19 21:41:31.544977,Medium,Network,Agent12
TKT-1008,Customer Verification,2024-05-21 00:47:56.520875,Medium,Network,Agent2
TKT-1008,Ticket Closed,2024-05-21 02:22:02.782061,Medium,Network,Agent5
TKT-1009,Ticket Created,2024-07-05 00:00:00.000000,Low,Hardware,Agent1
TKT-1009,Initial Triage,2024-07-05 02:56:29.534602,Low,Hardware,Agent12
TKT-1009,Assigned to Agent,2024-07-05 04:18:06.799133,Low,Hardware,Agent5
TKT-1009,Investigation Started,2024-07-05 06:00:34.696858,Low,Hardware,Agent1
TKT-1009,Awaiting Customer Response,2024-07-06 19:55:10.364653,Low,Hardware,Agent12
TKT-1009,Solution Proposed,2024-07-06 23:09:30.461615,Low,Hardware,Agent6
TKT-1009,Solution Implemented,2024-07-07 04:32:50.047299,Low,Hardware,Agent4
TKT-1009,Customer Verification,2024-07-07 21:23:54.365787,Low,Hardware,Agent8
TKT-1009,Ticket Closed,2024-07-07 22:15:17.608525,Low,Hardware,Agent6
TKT-1010,Ticket Created,2024-04-07 00:00:00.000000,Medium,Access,Agent6
TKT-1010,Initial Triage,2024-04-07 01:29:49.419982,Medium,Access,Agent1
TKT-1010,Assigned to Agent,2024-04-07 03:33:07.502090,Medium,Access,Agent11
TKT-1010,Investigation Started,2024-04-07 04:42:17.635321,Medium,Access,Agent13
TKT-1010,Awaiting Customer Response,2024-04-07 09:57:52.155908,Medium,Access,Agent4
TKT-1010,Solution Proposed,2024-04-07 11:02:50.736829,Medium,Access,Agent3
TKT-1010,Solution Implemented,2024-04-08 00:22:49.589554,Medium,Access,Agent4
TKT-1010,Customer Verification,2024-04-10 03:05:26.912282,Medium,Access,Agent4
TKT-1010,Ticket Closed,2024-04-10 05:00:05.737910,Medium,Access,Agent8
TKT-1011,Ticket Created,2024-12-25 00:00:00.000000,Medium,Software,Agent1
TKT-1011,Initial Triage,2024-12-25 02:11:21.211053,Medium,Software,Agent9
TKT-1011,Assigned to Agent,2024-12-25 03:59:00.743788,Medium,Software,Agent7
TKT-1011,Investigation Started,2024-12-25 06:22:42.988258,Medium,Software,Agent10
TKT-1011,Awaiting Customer Response,2024-12-28 21:44:13.474567,Medium,Software,Agent10
TKT-1011,Solution Proposed,2024-12-29 03:38:52.504747,Medium,Software,Agent4
TKT-1011,Solution Implemented,2024-12-29 13:03:46.893896,Medium,Software,Agent2
TKT-1011,Customer Verification,2025-01-01 12:50:17.693044,Medium,Software,Agent14
TKT-1011,Ticket Closed,2025-01-01 14:41:02.658137,Medium,Software,Agent5
TKT-1012,Ticket Created,2024-08-20 00:00:00.000000,High,Hardware,Agent3
TKT-1012,Initial Triage,2024-08-20 02:15:03.220470,High,Hardware,Agent3
TKT-1012,Assigned to Agent,2024-08-20 09:14:42.592625,High,Hardware,Agent6
TKT-1012,Investigation Started,2024-08-20 12:28:29.024503,High,Hardware,Agent8
TKT-1012,Awaiting Customer Response,2024-08-20 23:49:51.884295,High,Hardware,Agent4
TKT-1012,Solution Proposed,2024-08-21 05:19:25.859688,High,Hardware,Agent4
TKT-1012,Solution Implemented,2024-08-21 15:27:12.465408,High,Hardware,Agent14
TKT-1012,Customer Verification,2024-08-24 11:51:41.288979,High,Hardware,Agent9
TKT-1012,Ticket Closed,2024-08-24 12:22:08.621532,High,Hardware,Agent14
TKT-1013,Ticket Created,2024-07-26 00:00:00.000000,Medium,Network,Agent13
TKT-1013,Initial Triage,2024-07-26 01:03:38.423785,Medium,Network,Agent1
TKT-1013,Assigned to Agent,2024-07-26 02:11:13.922948,Medium,Network,Agent14
TKT-1013,Investigation Started,2024-07-26 03:49:33.959145,Medium,Network,Agent4
TKT-1013,Awaiting Customer Response,2024-07-30 03:15:59.291913,Medium,Network,Agent3
TKT-1013,Solution Proposed,2024-07-30 07:33:16.323974,Medium,Network,Agent1
TKT-1013,Solution Implemented,2024-07-30 17:09:00.351594,Medium,Network,Agent11
TKT-1013,Customer Verification,2024-08-01 03:12:46.965055,Medium,Network,Agent7
TKT-1013,Ticket Closed,2024-08-01 04:05:19.458875,Medium,Network,Agent14
TKT-1014,Ticket Created,2024-02-20 00:00:00.000000,Critical,Email,Agent6
TKT-1014,Initial Triage,2024-02-20 02:45:54.889089,Critical,Email,Agent11
TKT-1014,Assigned to Agent,2024-02-20 09:19:44.133938,Critical,Email,Agent14
TKT-1014,Investigation Started,2024-02-20 12:05:12.436300,Critical,Email,Agent1
TKT-1014,Awaiting Customer Response,2024-02-24 09:26:31.887334,Critical,Email,Agent3
TKT-1014,Solution Proposed,2024-02-24 13:18:07.962920,Critical,Email,Agent1
TKT-1014,Solution Implemented,2024-02-24 15:54:45.593016,Critical,Email,Agent12
TKT-1014,Customer Verification,2024-02-27 12:20:24.647236,Critical,Email,Agent13
TKT-1014,Ticket Closed,2024-02-27 13:15:34.273082,Critical,Email,Agent6
TKT-1015,Ticket Created,2024-02-06 00:00:00.000000,Medium,Hardware,Agent8
TKT-1015,Initial Triage,2024-02-06 01:19:36.752742,Medium,Hardware,Agent14
TKT-1015,Assigned to Agent,2024-02-06 09:05:36.454182,Medium,Hardware,Agent3
TKT-1015,Investigation Started,2024-02-06 13:01:28.632137,Medium,Hardware,Agent4
TKT-1015,Awaiting Customer Response,2024-02-09 01:59:38.407142,Medium,Hardware,Agent7
TKT-1015,Solution Proposed,2024-02-09 04:20:10.954566,Medium,Hardware,Agent3
TKT-1015,Solution Implemented,2024-02-09 08:42:33.388999,Medium,Hardware,Agent9
TKT-1015,Customer Verification,2024-02-10 20:23:26.745830,Medium,Hardware,Agent6
TKT-1015,Ticket Closed,2024-02-10 21:56:05.306732,Medium,Hardware,Agent8
TKT-1016,Ticket Created,2024-10-14 00:00:00.000000,Low,Software,Agent6
TKT-1016,Initial Triage,2024-10-14 01:23:47.821032,Low,Software,Agent11
TKT-1016,Assigned to Agent,2024-10-14 04:27:49.143860,Low,Software,Agent10
TKT-1016,Investigation Started,2024-10-14 07:33:22.828444,Low,Software,Agent1
TKT-1016,Awaiting Customer Response,2024-10-18 03:36:42.468976,Low,Software,Agent7
TKT-1016,Solution Proposed,2024-10-18 06:04:47.122173,Low,Software,Agent7
TKT-1016,Solution Implemented,2024-10-18 13:57:24.077338,Low,Software,Agent2
TKT-1016,Customer Verification,2024-10-21 05:58:51.698151,Low,Software,Agent13
TKT-1016,Ticket Closed,2024-10-21 06:36:12.306725,Low,Software,Agent7
TKT-1017,Ticket Created,2024-01-20 00:00:00.000000,Medium,Email,Agent1
TKT-1017,Initial Triage,2024-01-20 00:40:38.468253,Medium,Email,Agent14
TKT-1017,Assigned to Agent,2024-01-20 07:14:52.443523,Medium,Email,Agent12
TKT-1017,Investigation Started,2024-01-20 10:51:03.819600,Medium,Email,Agent12
TKT-1017,Awaiting Customer Response,2024-01-23 04:56:40.476515,Medium,Email,Agent6
TKT-1017,Solution Proposed,2024-01-23 07:35:07.224530,Medium,Email,Agent10
TKT-1017,Solution Implemented,2024-01-23 17:10:56.514119,Medium,Email,Agent13
TKT-1017,Customer Verification,2024-01-26 07:31:06.150566,Medium,Email,Agent10
TKT-1017,Ticket Closed,2024-01-26 08:03:50.851916,Medium,Email,Agent4
TKT-1018,Ticket Created,2024-04-10 00:00:00.000000,Low,Network,Agent1
TKT-1018,Initial Triage,2024-04-10 02:34:10.821034,Low,Network,Agent12
TKT-1018,Assigned to Agent,2024-04-10 05:04:49.510927,Low,Network,Agent5
TKT-1018,Investigation Started,2024-04-10 07:10:51.051963,Low,Network,Agent6
TKT-1018,Awaiting Customer Response,2024-04-13 10:11:27.212633,Low,Network,Agent3
TKT-1018,Solution Proposed,2024-04-13 14:22:40.950860,Low,Network,Agent4
TKT-1018,Solution Implemented,2024-04-13 18:14:11.320141,Low,Network,Agent2
TKT-1018,Customer Verification,2024-04-15 13:12:52.195374,Low,Network,Agent14
TKT-1018,Ticket Closed,2024-04-15 13:46:33.959965,Low,Network,Agent8
TKT-1019,Ticket Created,2024-02-27 00:00:00.000000,Low,Access,Agent7
TKT-1019,Initial Triage,2024-02-27 01:07:37.744746,Low,Access,Agent10
TKT-1019,Assigned to Agent,2024-02-27 08:51:56.484796,Low,Access,Agent7
TKT-1019,Investigation Started,2024-02-27 10:51:53.247180,Low,Access,Agent12
TKT-1019,Awaiting Customer Response,2024-02-29 03:30:03.764196,Low,Access,Agent1
TKT-1019,Solution Proposed,2024-02-29 06:42:46.104331,Low,Access,Agent14
TKT-1019,Solution Implemented,2024-02-29 10:01:37.318151,Low,Access,Agent9
TKT-1019,Customer Verification,2024-03-02 13:38:19.951522,Low,Access,Agent5
TKT-1019,Ticket Closed,2024-03-02 15:05:46.612729,Low,Access,Agent13
TKT-1020,Ticket Created,2024-10-04 00:00:00.000000,High,Email,Agent13
TKT-1020,Initial Triage,2024-10-04 01:32:56.400562,High,Email,Agent12
TKT-1020,Assigned to Agent,2024-10-04 06:30:40.538266,High,Email,Agent3
TKT-1020,Investigation Started,2024-10-04 09:39:49.399258,High,Email,Agent9
TKT-1020,Awaiting Customer Response,2024-10-05 18:28:35.156403,High,Email,Agent1
TKT-1020,Solution Proposed,2024-10-05 21:02:00.595972,High,Email,Agent14
TKT-1020,Solution Implemented,2024-10-06 08:53:04.952085,High,Email,Agent12
TKT-1020,Customer Verification,2024-10-06 21:54:51.750081,High,Email,Agent10
TKT-1020,Ticket Closed,2024-10-06 23:09:06.475807,High,Email,Agent7
TKT-1021,Ticket Created,2024-01-23 00:00:00.000000,Medium,Email,Agent10
TKT-1021,Initial Triage,2024-01-23 02:02:22.650882,Medium,Email,Agent5
TKT-1021,Assigned to Agent,2024-01-23 09:14:46.996642,Medium,Email,Agent4
TKT-1021,Investigation Started,2024-01-23 11:03:27.115586,Medium,Email,Agent10
TKT-1021,Awaiting Customer Response,2024-01-23 18:04:04.551407,Medium,Email,Agent8
TKT-1021,Solution Proposed,2024-01-23 22:21:41.036776,Medium,Email,Agent4
TKT-1021,Solution Implemented,2024-01-24 08:58:59.935461,Medium,Email,Agent7
TKT-1021,Customer Verification,2024-01-27 05:38:18.280440,Medium,Email,Agent12
TKT-1021,Ticket Closed,2024-01-27 07:01:01.468579,Medium,Email,Agent11
TKT-1022,Ticket Created,2024-06-26 00:00:00.000000,High,Access,Agent3
TKT-1022,Initial Triage,2024-06-26 02:06:29.593966,High,Access,Agent1
TKT-1022,Assigned to Agent,2024-06-26 08:47:11.939220,High,Access,Agent11
TKT-1022,Investigation Started,2024-06-26 12:34:54.395811,High,Access,Agent3
TKT-1022,Awaiting Customer Response,2024-06-26 21:05:47.847598,High,Access,Agent11
TKT-1022,Solution Proposed,2024-06-26 23:04:32.088024,High,Access,Agent13
TKT-1022,Solution Implemented,2024-06-27 04:04:47.379657,High,Access,Agent14
TKT-1022,Customer Verification,2024-06-27 17:10:23.293998,High,Access,Agent3
TKT-1022,Ticket Closed,2024-06-27 18:36:01.864973,High,Access,Agent7
TKT-1023,Ticket Created,2024-03-30 00:00:00.000000,Low,Email,Agent14
TKT-1023,Initial Triage,2024-03-30 02:32:10.216343,Low,Email,Agent9
TKT-1023,Assigned to Agent,2024-03-30 07:00:30.360191,Low,Email,Agent10
TKT-1023,Investigation Started,2024-03-30 09:56:49.248475,Low,Email,Agent13
TKT-1023,Awaiting Customer Response,2024-03-30 12:20:19.956235,Low,Email,Agent9
TKT-1023,Solution Proposed,2024-03-30 17:21:22.612982,Low,Email,Agent9
TKT-1023,Solution Implemented,2024-03-31 03:01:40.395898,Low,Email,Agent5
TKT-1023,Customer Verification,2024-04-02 12:03:53.182252,Low,Email,Agent3
TKT-1023,Ticket Closed,2024-04-02 14:03:01.910019,Low,Email,Agent4
TKT-1024,Ticket Created,2024-09-24 00:00:00.000000,Medium,Email,Agent1
TKT-1024,Initial Triage,2024-09-24 02:11:58.603019,Medium,Email,Agent7
TKT-1024,Assigned to Agent,2024-09-24 08:28:53.083446,Medium,Email,Agent9
TKT-1024,Investigation Started,2024-09-24 10:18:12.467412,Medium,Email,Agent1
TKT-1024,Awaiting Customer Response,2024-09-28 17:38:36.167699,Medium,Email,Agent6
TKT-1024,Solution Proposed,2024-09-28 20:07:53.600840,Medium,Email,Agent3
TKT-1024,Solution Implemented,2024-09-29 03:34:49.365448,Medium,Email,Agent12
TKT-1024,Customer Verification,2024-10-02 01:05:34.328775,Medium,Email,Agent3
TKT-1024,Ticket Closed,2024-10-02 01:43:47.276830,Medium,Email,Agent7
TKT-1025,Ticket Created,2024-12-04 00:00:00.000000,Critical,Access,Agent10
TKT-1025,Initial Triage,2024-12-04 02:04:46.534910,Critical,Access,Agent5
TKT-1025,Assigned to Agent,2024-12-04 03:43:17.479421,Critical,Access,Agent12
TKT-1025,Investigation Started,2024-12-04 05:22:18.652693,Critical,Access,Agent11
TKT-1025,Awaiting Customer Response,2024-12-09 00:12:23.486713,Critical,Access,Agent9
TKT-1025,Solution Proposed,2024-12-09 01:46:25.849549,Critical,Access,Agent5
TKT-1025,Solution Implemented,2024-12-09 10:41:44.632906,Critical,Access,Agent7
TKT-1025,Customer Verification,2024-12-12 10:27:05.781185,Critical,Access,Agent10
TKT-1025,Ticket Closed,2024-12-12 11:36:50.045892,Critical,Access,Agent7
TKT-1026,Ticket Created,2024-05-25 00:00:00.000000,Medium,Network,Agent12
TKT-1026,Initial Triage,2024-05-25 02:13:12.270092,Medium,Network,Agent10
TKT-1026,Assigned to Agent,2024-05-25 07:32:51.365288,Medium,Network,Agent13
TKT-1026,Investigation Started,2024-05-25 10:58:56.222911,Medium,Network,Agent14
TKT-1026,Awaiting Customer Response,2024-05-25 13:42:35.691140,Medium,Network,Agent2
TKT-1026,Solution Proposed,2024-05-25 19:10:09.835498,Medium,Network,Agent2
TKT-1026,Solution Implemented,2024-05-25 22:18:29.814042,Medium,Network,Agent5
TKT-1026,Customer Verification,2024-05-27 00:18:07.077686,Medium,Network,Agent8
TKT-1026,Ticket Closed,2024-05-27 01:21:48.139983,Medium,Network,Agent1
TKT-1027,Ticket Created,2024-11-22 00:00:00.000000,High,Hardware,Agent9
TKT-1027,Initial Triage,2024-11-22 01:58:46.998649,High,Hardware,Agent4
TKT-1027,Assigned to Agent,2024-11-22 05:36:48.740204,High,Hardware,Agent3
TKT-1027,Investigation Started,2024-11-22 08:50:00.791345,High,Hardware,Agent6
TKT-1027,Awaiting Customer Response,2024-11-22 13:19:14.860904,High,Hardware,Agent3
TKT-1027,Solution Proposed,2024-11-22 14:52:36.415586,High,Hardware,Agent3
TKT-1027,Solution Implemented,2024-11-22 20:25:41.997149,High,Hardware,Agent2
TKT-1027,Customer Verification,2024-11-24 12:32:52.695820,High,Hardware,Agent10
TKT-1027,Ticket Closed,2024-11-24 14:09:33.954669,High,Hardware,Agent8
TKT-1028,Ticket Created,2024-01-01 00:00:00.000000,Low,Hardware,Agent3
TKT-1028,Initial Triage,2024-01-01 01:57:30.318886,Low,Hardware,Agent14
TKT-1028,Assigned to Agent,2024-01-01 05:45:35.935786,Low,Hardware,Agent12
TKT-1028,Investigation Started,2024-01-01 07:15:35.908073,Low,Hardware,Agent8
TKT-1028,Awaiting Customer Response,2024-01-04 01:08:53.571476,Low,Hardware,Agent10
TKT-1028,Solution Proposed,2024-01-04 02:12:32.352020,Low,Hardware,Agent13
TKT-1028,Solution Implemented,2024-01-04 04:48:47.611582,Low,Hardware,Agent5
TKT-1028,Customer Verification,2024-01-04 19:25:02.180774,Low,Hardware,Agent5
TKT-1028,Ticket Closed,2024-01-04 21:24:24.190673,Low,Hardware,Agent5
TKT-1029,Ticket Created,2024-01-20 00:00:00.000000,Low,Network,Agent9
TKT-1029,Initial Triage,2024-01-20 01:48:27.880598,Low,Network,Agent9
TKT-1029,Assigned to Agent,2024-01-20 04:19:31.470084,Low,Network,Agent1
TKT-1029,Investigation Started,2024-01-20 07:01:18.701893,Low,Network,Agent6
TKT-1029,Awaiting Customer Response,2024-01-24 05:47:00.705832,Low,Network,Agent11
TKT-1029,Solution Proposed,2024-01-24 08:11:18.043245,Low,Network,Agent8
TKT-1029,Solution Implemented,2024-01-24 15:42:41.941895,Low,Network,Agent8
TKT-1029,Customer Verification,2024-01-26 16:55:10.583020,Low,Network,Agent8
TKT-1029,Ticket Closed,2024-01-26 17:40:26.854501,Low,Network,Agent4
TKT-1030,Ticket Created,2024-11-11 00:00:00.000000,Medium,Software,Agent2
TKT-1030,Initial Triage,2024-11-11 01:09:53.441325,Medium,Software,Agent5
TKT-1030,Assigned to Agent,2024-11-11 08:59:08.190478,Medium,Software,Agent11
TKT-1030,Investigation Started,2024-11-11 11:55:45.028075,Medium,Software,Agent1
TKT-1030,Awaiting Customer Response,2024-11-14 03:24:18.070808,Medium,Software,Agent13
TKT-1030,Solution Proposed,2024-11-14 07:49:43.231914,Medium,Software,Agent13
TKT-1030,Solution Implemented,2024-11-14 11:41:35.762225,Medium,Software,Agent3
TKT-1030,Customer Verification,2024-11-17 01:02:43.806696,Medium,Software,Agent2
TKT-1030,Ticket Closed,2024-11-17 02:10:13.657608,Medium,Software,Agent5
TKT-1031,Ticket Created,2024-01-10 00:00:00.000000,Medium,Software,Agent8
TKT-1031,Initial Triage,2024-01-10 02:41:29.953373,Medium,Software,Agent11
TKT-1031,Assigned to Agent,2024-01-10 04:00:29.463860,Medium,Software,Agent7
TKT-1031,Investigation Started,2024-01-10 05:56:51.278329,Medium,Software,Agent6
TKT-1031,Awaiting Customer Response,2024-01-10 17:49:13.218984,Medium,Software,Agent1
TKT-1031,Solution Proposed,2024-01-10 20:42:14.520443,Medium,Software,Agent10
TKT-1031,Solution Implemented,2024-01-11 04:02:11.419617,Medium,Software,Agent6
TKT-1031,Customer Verification,2024-01-13 17:47:10.891290,Medium,Software,Agent1
TKT-1031,Ticket Closed,2024-01-13 19:32:37.866295,Medium,Software,Agent2
TKT-1032,Ticket Created,2024-11-06 00:00:00.000000,Low,Hardware,Agent6
TKT-1032,Initial Triage,2024-11-06 02:13:45.429575,Low,Hardware,Agent5
TKT-1032,Assigned to Agent,2024-11-06 10:13:38.314942,Low,Hardware,Agent6
TKT-1032,Investigation Started,2024-11-06 13:55:24.203420,Low,Hardware,Agent7
TKT-1032,Awaiting Customer Response,2024-11-07 01:22:15.769696,Low,Hardware,Agent10
TKT-1032,Solution Proposed,2024-11-07 04:15:37.079583,Low,Hardware,Agent5
TKT-1032,Solution Implemented,2024-11-07 12:34:04.504003,Low,Hardware,Agent14
TKT-1032,Customer Verification,2024-11-08 15:39:16.070938,Low,Hardware,Agent13
TKT-1032,Ticket Closed,2024-11-08 17:03:49.413964,Low,Hardware,Agent14
TKT-1033,Ticket Created,2024-12-13 00:00:00.000000,High,Software,Agent8
TKT-1033,Initial Triage,2024-12-13 00:33:19.662678,High,Software,Agent10
TKT-1033,Assigned to Agent,2024-12-13 05:11:51.416741,High,Software,Agent6
TKT-1033,Investigation Started,2024-12-13 08:36:26.697516,High,Software,Agent2
TKT-1033,Awaiting Customer Response,2024-12-13 16:07:35.343712,High,Software,Agent5
TKT-1033,Solution Proposed,2024-12-13 17:34:06.691733,High,Software,Agent11
TKT-1033,Solution Implemented,2024-12-14 01:13:02.228190,High,Software,Agent7
TKT-1033,Customer Verification,2024-12-16 10:31:31.875416,High,Software,Agent5
TKT-1033,Ticket Closed,2024-12-16 11:59:04.426744,High,Software,Agent11
TKT-1034,Ticket Created,2024-08-13 00:00:00.000000,Low,Access,Agent6
TKT-1034,Initial Triage,2024-08-13 02:01:12.790646,Low,Access,Agent2
TKT-1034,Assigned to Agent,2024-08-13 05:45:57.340583,Low,Access,Agent11
TKT-1034,Investigation Started,2024-08-13 06:35:03.966930,Low,Access,Agent2
TKT-1034,Awaiting Customer Response,2024-08-16 07:55:38.734384,Low,Access,Agent8
TKT-1034,Solution Proposed,2024-08-16 13:28:47.217395,Low,Access,Agent14
TKT-1034,Solution Implemented,2024-08-17 00:11:20.387086,Low,Access,Agent3
TKT-1034,Customer Verification,2024-08-19 06:02:51.031329,Low,Access,Agent13
TKT-1034,Ticket Closed,2024-08-19 06:46:05.228126,Low,Access,Agent8
TKT-1035,Ticket Created,2024-12-05 00:00:00.000000,High,Hardware,Agent8
TKT-1035,Initial Triage,2024-12-05 00:36:52.751398,High,Hardware,Agent6
TKT-1035,Assigned to Agent,2024-12-05 05:03:46.727367,High,Hardware,Agent13
TKT-1035,Investigation Started,2024-12-05 06:17:41.775335,High,Hardware,Agent11
TKT-1035,Awaiting Customer Response,2024-12-06 13:34:40.141529,High,Hardware,Agent9
TKT-1035,Solution Proposed,2024-12-06 16:52:42.286391,High,Hardware,Agent11
TKT-1035,Solution Implemented,2024-12-06 20:49:19.175893,High,Hardware,Agent8
TKT-1035,Customer Verification,2024-12-07 19:37:33.706720,High,Hardware,Agent4
TKT-1035,Ticket Closed,2024-12-07 20:38:40.310050,High,Hardware,Agent3
TKT-1036,Ticket Created,2024-04-02 00:00:00.000000,High,Network,Agent2
